Exercise,Difficulty Level,Target Muscle Group,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment
Single Arm Barbell Windmill,Expert,Abdominals,Obliques,Rectus Abdominis,,Barbell
Bodyweight Windmill,Novice,Abdominals,Obliques,,,Bodyweight
Superband Split Squat Isometric Pallof Press,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Superband
Single Arm Barbell Turkish Get Up,Expert,Abdominals,Obliques,Rectus Abdominis,,Barbell
Single Arm Barbell Single Leg Standing Bent Knee Contralateral Overhead Press,Expert,Shoulders,Anterior Deltoids,Rectus Abdominis,,Barbell
Single Arm Barbell Single Leg Standing Bent Knee Ipsilateral Overhead Press,Expert,Shoulders,Anterior Deltoids,Rectus Abdominis,,Barbell
Single Arm Kettlebell Half Kneeling Side Press,Intermediate,Shoulders,Anterior Deltoids,Rectus Abdominis,,Kettlebell
Single Arm Kettlebell Bottoms Up Thruster,Intermediate,Shoulders,Anterior Deltoids,Quadriceps Femoris,,Kettlebell
Alternating Double Kettlebell Bottoms Up Thruster,Intermediate,Shoulders,Anterior Deltoids,Quadriceps Femoris,,Kettlebell
Single Arm Kettlebell Dead Clean,Intermediate,Glutes,Gluteus Maximus,,,Kettlebell
Alternating Single Arm Kettlebell Dead Clean,Intermediate,Glutes,Gluteus Maximus,,,Kettlebell
Double Kettlebell Push Up to L Sit,Expert,Chest,Pectoralis Major,Rectus Abdominis,,Kettlebell
Single Arm Kettlebell Bottoms Up Half Kneeling Windmill,Advanced,Abdominals,Obliques,Rectus Abdominis,,Kettlebell
Alternating Single Arm Kettlebell Half Kneeling Around the World High Catch,Intermediate,Abdominals,Rectus Abdominis,,,Kettlebell
Bodyweight Single Arm Contralateral Single Leg Push Up,Expert,Chest,Pectoralis Major,Rectus Abdominis,,Bodyweight
Single Arm Barbell Overhead Toe Balance Squat,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell
Barbell Overhead Toe Balance Squat,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell
Ring Kneeling Rollout,Intermediate,Abdominals,Rectus Abdominis,,,Gymnastic Rings
Single Arm Ring Kneeling Rollout,Advanced,Abdominals,Rectus Abdominis,,,Gymnastic Rings
Ring Standing Rollout,Advanced,Abdominals,Rectus Abdominis,,,Gymnastic Rings
Ring Alternating Reach Push Up,Advanced,Chest,Pectoralis Major,Rectus Abdominis,,Gymnastic Rings
Ring L Sit Dips,Advanced,Triceps,Triceps Brachii,Rectus Abdominis,,Gymnastic Rings
Single Arm Kettlebell Bent Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell
Alternating Single Arm Kettlebell Around the World High Catch to Squat,Intermediate,Abdominals,Rectus Abdominis,Quadriceps Femoris,,Kettlebell
Double Kettlebell Overhead Alternating Cossack Squat,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell
Double Kettlebell Front Rack Cossack Squat,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell
Double Kettlebell Front Rack Low Switch Cossack Squat,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell
Alternating Single Arm Kettlebell Bottoms Up Clean to Overhead Press,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell
Double Kettlebell Bottoms Up Clean to Overhead Press,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell
Double Kettlebell Bottoms Up Overhead Knee Over Toe Split Squat,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Barbell Decline Bench Press,Novice,Chest,Pectoralis Major,Triceps Brachii,Anterior Deltoids,Barbell
Bodyweight Bulgarian Split Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight
Plate Otis Up,Novice,Abdominals,Rectus Abdominis,,,Weight Plate
Single Arm Kettlebell Swing to Bottoms Up Horn Grip Goblet Squat,Intermediate,Glutes,Gluteus Maximus,Quadriceps Femoris,,Kettlebell
Double Kettlebell Overhead Pistol Squat,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Double Kettlebell Bottoms Up Front Rack Pistol Squat,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Double Kettlebell Bottoms Up Overhead Pistol Squat,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Double Kettlebell Clean to Sots Press,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell
Double Kettlebell Bottoms Up Clean to Sots Press,Advanced,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell
Kettlebell Half Kneeling Alternating Halo,Novice,Shoulders,Posterior Deltoids,Medial Deltoids,,Kettlebell
Kettlebell Tall Kneeling Alternating Halo,Novice,Shoulders,Posterior Deltoids,Medial Deltoids,,Kettlebell
Kettlebell Tall Kneeling Alternating Hip to Halo,Novice,Shoulders,Posterior Deltoids,Medial Deltoids,,Kettlebell
Double Dumbbell Decline Bench Press,Beginner,Chest,Pectoralis Major,Triceps Brachii,,Dumbbell
Double Dumbbell Chest Fly,Beginner,Chest,Pectoralis Major,,,Dumbbell
Double Dumbbell Decline Bench Chest Fly,Beginner,Chest,Pectoralis Major,,,Dumbbell
Double Kettlebell Clean to Thruster,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell
Double Kettlebell Single Leg Standing Bent Knee Overhead Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell
Double Kettlebell Bottoms Up Single Leg Standing Bent Knee Overhead Press,Advanced,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell
Single Arm Kettlebell Single Leg Standing Bent Knee Contralateral Overhead Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell
Single Arm Kettlebell Bottoms Up Single Leg Standing Bent Knee Contralateral Overhead Press,Advanced,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell
Double Kettlebell Bottoms Up Overhead Bulgarian Split Squat,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Single Arm Kettlebell Bottoms Up Overhead Contralateral Bulgarian Split Squat,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Single Arm Kettlebell Suitcase Contralateral Bulgarian Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Single Arm Kettlebell Suitcase Ipsilateral Bulgarian Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Double Kettlebell Bottoms Up Front Rack Bulgarian Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Double Kettlebell Suitcase Bulgarian Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Double Kettlebell Bulgarian Split Squat Thruster,Advanced,Shoulders,Anterior Deltoids,Quadriceps Femoris,Gluteus Maximus,Kettlebell
Double Kettlebell Bottoms Up Bulgarian Split Squat Thruster,Advanced,Shoulders,Anterior Deltoids,Quadriceps Femoris,Gluteus Maximus,Kettlebell
Single Arm Kettlebell Bottoms Up Front Rack Contralateral Bulgarian Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Single Arm Kettlebell Front Rack Contralateral Bulgarian Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Single Ring Chin Up,Advanced,Biceps,Biceps Brachii,Latissimus Dorsi,,Gymnastic Rings
Single Arm Kettlebell Bottoms Up Front Rack Ipsilateral Bulgarian Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Single Arm Suspension Single Leg Standing Bent Knee Contralateral Low Row,Advanced,Back,Latissimus Dorsi,Biceps Brachii,,Suspension Trainer
Single Arm Suspension Single Leg Standing Bent Knee Ipsilateral Low Row,Advanced,Back,Latissimus Dorsi,Biceps Brachii,,Suspension Trainer
Suspension Single Leg Standing Bent Knee Bicep Curl,Intermediate,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Suspension Trainer
Single Arm Suspension Single Leg Standing Bent Knee Contralateral Bicep Curl,Advanced,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Suspension Trainer
Single Arm Suspension Single Leg Standing Bent Knee Ipsilateral Bicep Curl,Advanced,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Suspension Trainer
Single Arm Plate Teacup,Intermediate,Shoulders,Posterior Deltoids,Anterior Deltoids,,Weight Plate
Ring L Sit Chin Up,Advanced,Biceps,Biceps Brachii,Latissimus Dorsi,Rectus Abdominis,Gymnastic Rings
Single Ring L Sit Chin Up,Advanced,Biceps,Biceps Brachii,Latissimus Dorsi,Rectus Abdominis,Gymnastic Rings
Barbell Front Rack Bulgarian Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell
Barbell Back Rack Bulgarian Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell
Single Arm Suspension Contralateral Pistol Squat,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Suspension Trainer
Barbell Front Rack Alternating Curtsy Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell
Bodyweight Dragon Flag,Advanced,Abdominals,Rectus Abdominis,,,Bodyweight
Single Arm Kettlebell Front Rack Ipsilateral Bulgarian Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Ring Iron Cross,Master,Back,Latissimus Dorsi,Biceps Brachii,,Gymnastic Rings
Parallette Tuck Planche Push Up,Expert,Chest,Pectoralis Major,Triceps Brachii,Rectus Abdominis,Parallette Bars
Parallette Full Planche,Expert,Abdominals,Rectus Abdominis,,,Parallette Bars
Parallette Full Planche Push Up,Master,Chest,Pectoralis Major,Triceps Brachii,Rectus Abdominis,Parallette Bars
Ring Inverted Iron Cross,Grand Master,Back,Latissimus Dorsi,Biceps Brachii,,Gymnastic Rings
Ring Maltese Push Up,Expert,Chest,Pectoralis Major,Triceps Brachii,,Gymnastic Rings
Ring Tuck Planche,Advanced,Abdominals,Rectus Abdominis,Biceps Brachii,,Gymnastic Rings
Ring Tuck Planche Push Up,Expert,Chest,Pectoralis Major,Triceps Brachii,Rectus Abdominis,Gymnastic Rings
Ring Full Planche,Master,Abdominals,Rectus Abdominis,,,Gymnastic Rings
Ring Full Planche Push Up,Grand Master,Chest,Pectoralis Major,Triceps Brachii,Rectus Abdominis,Gymnastic Rings
Ring Grip Full Planche Push Up,Legendary,Chest,Pectoralis Major,Triceps Brachii,Rectus Abdominis,Gymnastic Rings
Ring Grip Full Planche,Grand Master,Abdominals,Rectus Abdominis,,,Gymnastic Rings
Bodyweight Full Planche,Expert,Abdominals,Rectus Abdominis,,,Bodyweight
Cable Quadruped Hip Abduction,Novice,Abductors,Gluteus Medius,Gluteus Minimus,,Cable
Single Arm Kettlebell Bottoms Up Single Leg Standing Bent Knee Ipsilateral Overhead Press,Advanced,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell
Double Kettlebell Turkish Get Up,Advanced,Abdominals,Obliques,Rectus Abdominis,,Kettlebell
Parallette L Sit to Tuck Planche Push Up,Expert,Chest,Pectoralis Major,Triceps Brachii,Rectus Abdominis,Parallette Bars
Ring L Sit to Tuck Planche Push Up,Expert,Chest,Pectoralis Major,Triceps Brachii,Rectus Abdominis,Gymnastic Rings
Parallette Straddle Planche,Expert,Abdominals,Rectus Abdominis,,,Parallette Bars
Parallette Straddle Planche Push Up,Master,Chest,Pectoralis Major,Triceps Brachii,Rectus Abdominis,Parallette Bars
Ring Straddle Planche,Master,Abdominals,Rectus Abdominis,,,Gymnastic Rings
Ring Straddle Planche Push Up,Grand Master,Chest,Pectoralis Major,Triceps Brachii,Rectus Abdominis,Gymnastic Rings
Barbell Turkish Sit Up,Intermediate,Abdominals,Rectus Abdominis,,,Barbell
Plate Turkish Sit Up,Intermediate,Abdominals,Rectus Abdominis,,,Weight Plate
Barbell Seated Overhead Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Barbell
Single Arm Barbell Turkish Sit Up,Advanced,Abdominals,Rectus Abdominis,,,Barbell
Dumbbell Crush Grip Romanian Deadlift,Beginner,Hamstrings,Biceps Femoris,Gluteus Maximus,,Dumbbell
Ring Pelican Curl,Advanced,Biceps,Biceps Brachii,Pectoralis Major,,Gymnastic Rings
Double Kettlebell Knee Over Toe Split Squat Thruster,Advanced,Shoulders,Anterior Deltoids,Quadriceps Femoris,Gluteus Maximus,Kettlebell
Double Kettlebell Bottoms Up Knee Over Toe Split Squat Thruster,Advanced,Shoulders,Anterior Deltoids,Quadriceps Femoris,Gluteus Maximus,Kettlebell
Ring Chin Up,Intermediate,Biceps,Biceps Brachii,Latissimus Dorsi,,Gymnastic Rings
Ring Two Finger Chin Up,Advanced,Biceps,Biceps Brachii,Latissimus Dorsi,,Gymnastic Rings
Dumbbell Crush Grip Bent Over Row,Beginner,Back,Latissimus Dorsi,Rhomboids,Posterior Deltoids,Dumbbell
Dumbbell Crush Grip Bicep Curl to Overhead Press,Beginner,Shoulders,Anterior Deltoids,Biceps Brachii,,Dumbbell
Dumbbell Crush Grip Overhead Press,Beginner,Shoulders,Anterior Deltoids,Triceps Brachii,,Dumbbell
Dumbbell Crush Grip Hollow Body Hold with Flutter Kicks,Intermediate,Abdominals,Rectus Abdominis,,,Dumbbell
Dumbbell Crush Grip Floor Press,Beginner,Chest,Pectoralis Major,Triceps Brachii,,Dumbbell
Parallette Crow Pose,Intermediate,Abdominals,Rectus Abdominis,,,Parallette Bars
Dumbbell Crush Grip Z Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Dumbbell
Single Arm Kettlebell Bottoms Up Knee Over Toe Split Squat Thruster,Advanced,Shoulders,Anterior Deltoids,Quadriceps Femoris,Gluteus Maximus,Kettlebell
Dumbbell Crush Grip Overhead Tricep Extension,Beginner,Triceps,Triceps Brachii,,,Dumbbell
Kettlebell Bottoms Up Horn Grip Goblet Bulgarian Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Double Kettlebell Snatch to Overhead Squat,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Barbell Half Kneeling Overhead Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Barbell
Barbell Tall Kneeling Overhead Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Barbell
Single Arm Kettlebell Half Kneeling Dead Clean,Intermediate,Glutes,Gluteus Maximus,,,Kettlebell
Barbell Overhead March,Intermediate,Abdominals,Rectus Abdominis,,,Barbell
Single Arm Barbell Overhead March,Advanced,Abdominals,Rectus Abdominis,,,Barbell
Single Arm Kettlebell Half Kneeling Clean,Intermediate,Glutes,Gluteus Maximus,,,Kettlebell
Single Arm Kettlebell Half Kneeling Snatch,Intermediate,Glutes,Gluteus Maximus,Anterior Deltoids,,Kettlebell
Double Kettlebell Front Rack Alternating Curtsy Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Slider Lateral Lunge,Beginner,Adductors,Adductor Magnus,,,Sliders
Kettlebell Bottoms Up Horn Grip Toe Balance Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Double Kettlebell Dead Clean to Overhead Press,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell
Double Kettlebell Dead Clean to Thruster,Intermediate,Shoulders,Anterior Deltoids,Quadriceps Femoris,Gluteus Maximus,Kettlebell
Barbell Bodyweight Feet Elevated Row,Intermediate,Back,Latissimus Dorsi,Biceps Brachii,,Barbell
Barbell Bodyweight Row,Novice,Back,Latissimus Dorsi,Biceps Brachii,,Barbell
Ring Row,Novice,Back,Latissimus Dorsi,Biceps Brachii,,Gymnastic Rings
Ring Bulgarian Row,Novice,Back,Latissimus Dorsi,Biceps Brachii,,Gymnastic Rings
Single Arm Kettlebell Dead Snatch,Intermediate,Glutes,Gluteus Maximus,Anterior Deltoids,,Kettlebell
Alternating Single Arm Kettlebell Dead Snatch,Intermediate,Glutes,Gluteus Maximus,Anterior Deltoids,,Kettlebell
Double Kettlebell Dead Half Snatch,Intermediate,Glutes,Gluteus Maximus,Anterior Deltoids,,Kettlebell
Slider Barbell Overhead Reverse Lunge,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders
Bodyweight Pseudo Planche Push Up,Advanced,Chest,Pectoralis Major,Anterior Deltoids,,Bodyweight
Parallette Pseudo Planche Push Up,Advanced,Chest,Pectoralis Major,Anterior Deltoids,,Parallette Bars
Double Kettlebell Otis Up,Novice,Abdominals,Rectus Abdominis,,,Kettlebell
Single Arm Kettlebell Otis Up,Novice,Abdominals,Rectus Abdominis,,,Kettlebell
Kettlebell Horn Grip Otis Up,Novice,Abdominals,Rectus Abdominis,,,Kettlebell
Double Kettlebell Bottoms Up Otis Up,Intermediate,Abdominals,Rectus Abdominis,,,Kettlebell
Single Arm Kettlebell Bottoms Up Otis Up,Intermediate,Abdominals,Rectus Abdominis,,,Kettlebell
Double Dumbbell Staggered Stance Romanian Deadlift,Novice,Hamstrings,Biceps Femoris,Gluteus Maximus,,Dumbbell
Barbell Staggered Stance Romanian Deadlift,Intermediate,Hamstrings,Biceps Femoris,Gluteus Maximus,,Barbell
Single Arm Kettlebell Bottoms Up Turkish Sit Up,Intermediate,Abdominals,Rectus Abdominis,,,Kettlebell
Ring Hanging Knees to Elbows,Advanced,Abdominals,Rectus Abdominis,Iliopsoas,Rectus Femoris,Gymnastic Rings
Barbell Staggered Stance Overhead Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Barbell
Double Kettlebell Bottoms Up Turkish Sit Up,Intermediate,Abdominals,Rectus Abdominis,,,Kettlebell
Superband Assisted Nordic Hamstring Curl,Intermediate,Hamstrings,Biceps Femoris,Gluteus Maximus,,Superband
Double Kettlebell Bottoms Up Turkish Sit Up to Z Press,Intermediate,Abdominals,Rectus Abdominis,,,Kettlebell
Bodyweight Alternating Shin Box Hip Extension,Intermediate,Glutes,Gluteus Maximus,,,Bodyweight
Single Arm Kettlebell Turkish Sit Up to Z Press,Intermediate,Abdominals,Rectus Abdominis,,,Kettlebell
Single Arm Kettlebell Bottoms Up Turkish Sit Up to Z Press,Intermediate,Abdominals,Rectus Abdominis,,,Kettlebell
Alternating Double Kettlebell Rotational Overhead Press,Novice,Shoulders,Anterior Deltoids,,,Kettlebell
Double Kettlebell Clean to Alternating Rotational Overhead Press,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell
Single Arm Kettlebell Rotational Thruster,Novice,Shoulders,Anterior Deltoids,,,Kettlebell
Alternating Single Arm Kettlebell Clean to Rotational Thruster,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell
Double Kettlebell Bottoms Up Front Rack Low Switch Cossack Squat,Advanced,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell
Alternating Single Arm Kettlebell Clean to Rotational Overhead Press,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell
Alternating Single Arm Kettlebell Bottoms Up Clean to Rotational Overhead Press,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell
Double Kettlebell Bottoms Up Clean to Alternating Rotational Overhead Press,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell
Double Kettlebell Bottoms Up Dead Clean,Intermediate,Glutes,Gluteus Maximus,,,Kettlebell
Single Arm Dumbbell Suitcase Carry,Beginner,Forearms,Brachioradialis,,,Dumbbell
Double Dumbbell Glute Bridge Isometric Bench Press,Novice,Chest,Pectoralis Major,Triceps Brachii,Anterior Deltoids,Dumbbell
Double Kettlebell Bottoms Up Dead Clean to Overhead Press,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell
Double Kettlebell Bottoms Up Dead Clean to Thruster,Intermediate,Shoulders,Anterior Deltoids,Quadriceps Femoris,Gluteus Maximus,Kettlebell
Bodyweight Foot Elevated Cossack Squat,Beginner,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Bodyweight
Double Kettlebell Bottoms Up Dead Clean to Alternating Rotational Overhead Press,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell
Barbell Overhead Foot Elevated Cossack Squat,Advanced,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Barbell
Landmine Split Squat Isometric Oblique Twist,Advanced,Abdominals,Obliques,,,Landmine
Double Kettlebell Bottoms Up Dead Clean to Alternating Rotational Thruster,Intermediate,Shoulders,Anterior Deltoids,Quadriceps Femoris,Gluteus Maximus,Kettlebell
Barbell Back Rack Foot Elevated Cossack Squat,Advanced,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Barbell
Barbell Front Rack Foot Elevated Cossack Squat,Advanced,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Barbell
Cable V Grip Seated Floor Lat Pulldown,Beginner,Back,Latissimus Dorsi,Biceps Brachii,,Cable
Barbell Overhead Low Switch Cossack Squat,Advanced,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Barbell
